eff,win,p05,pior,cap,w,cuts,eff_por_cap
1.1626917034809012,79.83193277310924,0.8637464418251712,0.8514089411543229,1.5315068493150685,"(1, 2, 5, 6)","(70, 78, 86, 94)",0.30609521531200484
1.1397248441500036,77.31092436974791,0.8280752669254935,0.8150609383703185,1.5085616438356164,"(1, 2, 6, 1)","(70, 78, 86, 94)",0.27474514809293643
1.1522647693036472,77.31092436974791,0.8414825724704087,0.8271389805278628,1.4976027397260274,"(1, 2, 6, 2)","(70, 78, 86, 94)",0.30599664581324826
1.1711126178525693,78.15126050420169,0.823561690547438,0.8075931629808838,1.591095890410959,"(1, 2, 6, 2)","(70, 76, 82, 88)",0.28948368721292134
1.1549437301165102,78.15126050420169,0.8482335812416036,0.8339205984834378,1.5006849315068493,"(1, 2, 6, 3)","(70, 78, 86, 94)",0.30946353757880285
1.172948618638158,78.99159663865547,0.8300793498702853,0.8145161084359478,1.5866438356164383,"(1, 2, 6, 3)","(70, 76, 82, 88)",0.29481025477140754
1.155436128316833,79.83193277310924,0.8540329687058358,0.8399063090667576,1.5068493150684932,"(1, 2, 6, 4)","(70, 78, 86, 94)",0.30667128019267065
1.1784777288201043,79.83193277310924,0.8384627082178576,0.824289500218633,1.5938356164383563,"(1, 2, 6, 4)","(70, 76, 82, 88)",0.30055073134642696
1.1564191866468398,79.83193277310924,0.8572042010886566,0.8433868767563721,1.5171232876712328,"(1, 2, 6, 5)","(70, 78, 86, 94)",0.3024794867607764
1.1784777288201043,80.67226890756302,0.8414286295378727,0.8270616842465212,1.595890410958904,"(1, 2, 6, 5)","(70, 76, 82, 88)",0.299514349514198
1.1616235628780585,79.83193277310924,0.8609921011959765,0.847892823277771,1.5263698630136986,"(1, 2, 6, 6)","(70, 78, 86, 94)",0.3070532229043141
1.1820485396966214,81.5126050420168,0.8438891145129256,0.8291481939620975,1.597945205479452,"(1, 2, 6, 6)","(70, 76, 82, 88)",0.3044568934216119
1.13022082742311,75.63025210084034,0.8378658795039708,0.8277403708742028,1.4277397260273972,"(1, 3, 1, 1)","(70, 78, 86, 94)",0.3044394043838922
1.149278883606532,77.31092436974791,0.812781613836328,0.8004676370385798,1.5356164383561643,"(1, 3, 1, 1)","(70, 76, 82, 88)",0.2787048210556735
1.135647148446341,76.47058823529412,0.8108252957918449,0.7973227845224964,1.533904109589041,"(1, 3, 1, 1)","(64, 74, 84, 92)",0.25406649997646946
1.1444934097503878,78.15126050420169,0.8475764647507467,0.838123947832851,1.4455479452054794,"(1, 3, 1, 2)","(70, 78, 86, 94)",0.32430496269879516
1.155557540901784,77.31092436974791,0.8322542535599605,0.8175381470264372,1.545890410958904,"(1, 3, 1, 2)","(70, 76, 82, 88)",0.28496111633200083
1.144395529812594,77.31092436974791,0.823444206809453,0.8121280736728016,1.5633561643835616,"(1, 3, 1, 2)","(64, 74, 84, 92)",0.2563130377220515
1.1495284876150471,78.15126050420169,0.8560826591745087,0.838123947832851,1.4657534246575343,"(1, 3, 1, 3)","(70, 78, 86, 94)",0.3210464587028952
1.1685743920111158,79.83193277310924,0.8440674422234273,0.8175381470264372,1.5667808219178083,"(1, 3, 1, 3)","(70, 76, 82, 88)",0.2974243049380411
1.1503330793142814,78.15126050420169,0.8295612261577606,0.8202544434963358,1.584931506849315,"(1, 3, 1, 3)","(64, 74, 84, 92)",0.25700971405017664
1.1511110243823555,78.15126050420169,0.8611100216218751,0.838123947832851,1.5047945205479452,"(1, 3, 1, 4)","(70, 78, 86, 94)",0.2993515544073799
1.1714680813706555,79.83193277310924,0.848068058765996,0.8175381470264372,1.5883561643835618,"(1, 3, 1, 4)","(70, 76, 82, 88)",0.2914358542504738
1.1548073085991999,78.99159663865547,0.832331420628772,0.8221537530590156,1.595890410958904,"(1, 3, 1, 4)","(64, 74, 84, 92)",0.25979157535038144
1.1548289381634103,78.15126050420169,0.8675285496236043,0.838123947832851,1.5273972602739727,"(1, 3, 1, 5)","(70, 78, 86, 94)",0.29357175288127135
1.1581249791734607,78.99159663865547,0.8686138126801893,0.838123947832851,1.5414383561643836,"(1, 3, 1, 6)","(70, 78, 86, 94)",0.29204613484282427
1.1338578310433038,77.31092436974791,0.8368852439392976,0.8244844750215571,1.4554794520547945,"(1, 3, 2, 1)","(70, 78, 86, 94)",0.29388335838078744
1.1452651601359287,77.31092436974791,0.8101762042029379,0.7977789381365318,1.5582191780821917,"(1, 3, 2, 1)","(70, 76, 82, 88)",0.26022961202264533
1.1355223501923521,77.31092436974791,0.8057387182378417,0.7922650536616097,1.5561643835616439,"(1, 3, 2, 1)","(64, 74, 84, 92)",0.24367319123255432
1.1428274348633805,78.99159663865547,0.8473388172270437,0.8352552474617003,1.4554794520547945,"(1, 3, 2, 2)","(70, 78, 86, 94)",0.3135760224068203
1.158630464506511,78.15126050420169,0.8313311339487304,0.8161792424841995,1.5599315068493151,"(1, 3, 2, 2)","(70, 76, 82, 88)",0.2833033372226375
1.1401940384075742,78.15126050420169,0.8182919891645976,0.8062666263717225,1.569178082191781,"(1, 3, 2, 2)","(64, 74, 84, 92)",0.2463096222323204
1.1495215762426856,78.99159663865547,0.8527095656589615,0.8439881037396447,1.4722602739726027,"(1, 3, 2, 3)","(70, 78, 86, 94)",0.3166084137988701
1.1668119080537638,80.67226890756302,0.8394063818215861,0.8258313727668605,1.5726027397260274,"(1, 3, 2, 3)","(70, 76, 82, 88)",0.29132223176853483
1.147496757799441,78.99159663865547,0.827157426029144,0.8155166134162737,1.5917808219178082,"(1, 3, 2, 3)","(64, 74, 84, 92)",0.24924220646664805
1.1528949564309563,78.99159663865547,0.8563821375699674,0.8475593971580062,1.4945205479452055,"(1, 3, 2, 4)","(70, 78, 86, 94)",0.30917816674403903
1.170441721248453,80.67226890756302,0.844492613319749,0.8307486233626473,1.5797945205479451,"(1, 3, 2, 4)","(70, 76, 82, 88)",0.2939691825431086
1.1559243848792116,78.99159663865547,0.862124733964416,0.8475593971580062,1.5126712328767122,"(1, 3, 2, 5)","(70, 78, 86, 94)",0.3041410847343339
1.1724912758539252,80.67226890756302,0.8469873188734354,0.8338238942357897,1.593150684931507,"(1, 3, 2, 5)","(70, 76, 82, 88)",0.290805153287218
1.160038480625894,79.83193277310924,0.8676955034878954,0.8475593971580062,1.5342465753424657,"(1, 3, 2, 6)","(70, 78, 86, 94)",0.29955920732539154
1.133393959833233,77.31092436974791,0.8322128223653621,0.8202383366395727,1.4664383561643837,"(1, 3, 3, 1)","(70, 78, 86, 94)",0.28598411359254056
1.1522834415393768,77.31092436974791,0.8063975159296293,0.7935143256361661,1.5784246575342467,"(1, 3, 3, 1)","(70, 76, 82, 88)",0.26327273492894027
1.138582754479747,77.31092436974791,0.8021383649102076,0.7883210265504572,1.5729452054794522,"(1, 3, 3, 1)","(64, 74, 84, 92)",0.24187785001844678
1.141352318316213,78.15126050420169,0.8445522863012725,0.8320153051994174,1.4657534246575343,"(1, 3, 3, 2)","(70, 78, 86, 94)",0.30349174226716336
1.1601057283919927,78.15126050420169,0.8288020859304726,0.8135203233739493,1.5712328767123287,"(1, 3, 3, 2)","(70, 76, 82, 88)",0.2802810113337042
1.1408879887542451,77.31092436974791,0.8136063948163136,0.801354028052017,1.5808219178082192,"(1, 3, 3, 2)","(64, 74, 84, 92)",0.24256658441178994
1.1478643202306553,78.99159663865547,0.8520280001741136,0.8386528778459194,1.475,"(1, 3, 3, 3)","(70, 78, 86, 94)",0.311293305748748
1.1649488564309887,78.99159663865547,0.8373793503721411,0.8222265845421513,1.571917808219178,"(1, 3, 3, 3)","(70, 76, 82, 88)",0.2884135693284353
1.1447724194965159,78.15126050420169,0.8235167929944487,0.8117652532860001,1.5962328767123288,"(1, 3, 3, 3)","(64, 74, 84, 92)",0.24281186957485715
1.1523420418983872,78.99159663865547,0.8542441691540021,0.8457690322317382,1.4924657534246575,"(1, 3, 3, 4)","(70, 78, 86, 94)",0.3093454536462383
1.168682690754717,80.67226890756302,0.8432138354648383,0.8286758146773763,1.582191780821918,"(1, 3, 3, 4)","(70, 76, 82, 88)",0.2897373276492785
1.1523420418983872,78.99159663865547,0.856307223272934,0.8486219599375088,1.5044520547945206,"(1, 3, 3, 5)","(70, 78, 86, 94)",0.30199508645165685
1.1710717014611083,80.67226890756302,0.8451030633190783,0.8309593372767413,1.5866438356164383,"(1, 3, 3, 5)","(70, 76, 82, 88)",0.29161083961846834
1.1590643522803585,79.83193277310924,0.8629478146578271,0.85425180237043,1.5198630136986302,"(1, 3, 3, 6)","(70, 78, 86, 94)",0.30597358936669755
1.1728967449410632,80.67226890756302,0.8475167807877358,0.8355916348385243,1.5996575342465753,"(1, 3, 3, 6)","(70, 76, 82, 88)",0.28832581109531963
1.1329013943901975,77.31092436974791,0.8274203832675084,0.8150921108096733,1.4767123287671233,"(1, 3, 4, 1)","(70, 78, 86, 94)",0.2787874077725408
