date,open,high,low,close,volume,n,vwap,ohlc4,mvrv,market_cap,supply,hashrate,cm_price,realized_cap,realized_price,price_to_rp,nupl,mvrv_zscore,ma200d,mayer,ma200w,p_ma200w,rsi_weekly,rsi_weekly_prev,hr_ma30,hr_ma60,hr_capitulation,hr_recovery,hash_ribbon,pct_mvrv,pct_mayer,pct_p_ma200w,pct_price_to_rp,pct_rsi_weekly,pct_mvrv_zscore
2023-03-23,27320.0,28818.0,27187.0,28343.0,3199.6545122,1440,28014.833409014467,27917.0,1.421886913625,548632503448.67126,19326286.95858388,398970829.72571325,28387.8897495617,385848198046.89777,19964.94199189778,1.419638484875249,0.2967091894456144,0.5734810852331057,20061.35,1.4128161863483764,25388.290757142855,1.1163807863680564,65.27633522985988,51.704006480474376,319630522.59755766,306931930.77472997,0.0,0.0,0.0,0.388387411563796,0.7294871794871794,0.12481481481481481,0.388143449621859,0.675331167208198,0.3507362784471218
2023-03-24,28352.0,29380.0,27043.0,27493.0,2789.44951461,1440,27894.973679244555,28067.0,1.375231386162,530807367185.91296,19327299.45855112,377232885.49311525,27464.1249453536,385976769092.86646,19970.548390406188,1.3766772680717962,0.2728496382046638,0.5102009304891798,20099.845,1.3678214931508177,25402.215028571427,1.082307191285364,65.27633522985988,51.704006480474376,323121401.17961603,308298415.6978988,0.0,0.0,0.0,0.36365853658536584,0.7080235836964881,0.11551277304701962,0.3646341463414634,0.6751624187906047,0.3225374732334047
2023-03-25,27497.0,27810.0,27210.0,27499.0,963.83840741,1440,27518.61334396446,27504.0,1.376280144651,531312174636.28394,19328205.7085129,337646717.00662136,27488.954880187,386049436738.0525,19973.371691093977,1.3767830702445527,0.27340374422564817,0.5116928240527651,20143.395,1.3651621288268436,25416.09671428571,1.0819521309321878,65.27633522985988,51.704006480474376,323281383.07986665,309908303.08485454,0.0,0.0,0.0,0.3645452328700317,0.7055356227575602,0.1154700222057735,0.3647890758351622,0.674993754683987,0.3235215413433235
2023-03-26,27493.0,28217.0,27453.0,28004.0,1100.20331067,1440,27863.21401055338,27791.75,1.403671575252,542169657055.99835,19329105.70847468,335318120.4383247,28049.3916911163,386251076544.49945,19982.873619194444,1.401400045542044,0.28758263853817023,0.549189458763792,20187.035,1.387226999903651,25429.86152857143,1.1012250290288221,65.10852295818634,65.27633522985988,325699515.3401152,310046762.95427567,0.0,0.0,0.0,0.3771331058020478,0.719702792723546,0.12282648908620052,0.37615797172111165,0.6730769230769231,0.34162653825575173
2023-03-27,27992.0,28051.0,26541.0,27142.0,2258.96393636,1440,27332.395208767342,27431.5,1.357098415255,524906913723.99316,19330030.70842007,344632513.417874,27154.9963702513,386786181328.9073,20009.599941319546,1.35644890850377,0.26313376483303974,0.486474820126304,20226.135,1.341927165026833,25442.98386428571,1.0667773931224787,65.10852295818634,65.27633522985988,329560278.91600055,310963339.9072438,0.0,0.0,0.0,0.3529125030465513,0.688780737704918,0.11205621301775148,0.35266877894223736,0.6729088639200999,0.3113131853436748
2023-03-28,27142.0,27514.0,26647.0,27272.0,2137.04196923,1440,27055.8771846614,27143.75,1.363066939643,527422700745.3335,19330868.20838185,312032141.34263265,27283.9634029807,386938223946.2652,20016.59831183832,1.3624692655130444,0.2663603151713816,0.49477292963625163,20255.64,1.3463904374287854,25456.236749999996,1.0713288168959225,65.10852295818634,65.27633522985988,327976128.3204003,311367721.21031827,0.0,0.0,0.0,0.3562378167641326,0.6924455825864276,0.11238447319778189,0.3562378167641326,0.6727408886669995,0.3160427807486631
2023-03-29,27272.0,28650.0,27258.0,28353.0,2161.81292594,1440,28232.59133325525,27883.25,1.417071461284,548815740560.0656,19331786.95834363,342303913.496396,28389.2917784921,387288683425.1724,20033.77568042245,1.4152599316417087,0.29431928641488136,0.568838684190916,20289.045,1.3974536504798527,25470.300742857144,1.1131788464630232,65.10852295818634,65.27633522985988,329398573.84357196,311840617.9775076,0.0,0.0,0.0,0.3861144945188794,0.7237583205325141,0.12638580931263857,0.3856272838002436,0.6725729972548041,0.3504410585404972
2023-03-30,28353.0,29170.0,27706.0,28039.0,2912.7258869,1440,28413.922595806336,28317.0,1.420441511641,541733941198.0574,19332755.70826653,360932699.4554946,28021.5583009936,381384194110.3269,19727.35805828499,1.4213256492409196,0.29599354017419177,0.5646531788476215,20320.065,1.379867633297433,25484.41591428571,1.100241029431727,65.10852295818634,65.27633522985988,331656000.6848173,312665514.2034787,0.0,0.0,0.0,0.3886994641987336,0.7148707448169951,0.12301440709272257,0.39064783244033124,0.6724051896207585,0.34794227685729556
2023-03-31,28036.0,28653.0,27533.0,28476.0,2301.18236248,1440,28212.15331969966,28174.5,1.443820674085,551292496354.6885,19333636.95822831,328332327.3802533,28514.6813062537,381828925329.70685,19749.461839729134,1.44186207356375,0.30739321167170897,0.5966986355921645,20350.44,1.3992817845707515,25498.65077142857,1.1167649714198828,65.10852295818634,65.27633522985988,330472508.39882505,313638583.9668835,0.0,0.0,0.0,0.40199659118578035,0.72517911975435,0.1274002954209749,0.40321402483564645,0.6722374657021701,0.3585359337429869
2023-04-01,28476.0,28816.0,28237.0,28469.0,656.33679146,1440,28505.83998374768,28499.5,1.442211549223,550928486203.3832,19334511.95818462,326003727.4587754,28494.5638863238,382002547753.96796,19757.54798363348,1.4409176697221135,0.3066204465366015,0.5947582343050791,20391.9,1.3960935469475624,25512.874149999996,1.1158680058005148,65.10852295818634,65.27633522985988,331066251.93745077,315322699.6725944,0.0,0.0,0.0,0.4011684518013632,0.7232028651829112,0.12698412698412698,0.4021421616358325,0.672069825436409,0.3576388888888889
